stdout 96576
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-815409959       -> 16
-0000000815409959 -> 17
-815409959       -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
stderr 0
